# VP05   2012-04-25_16-15-05
# Elapsed time of measurement: 624 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 25.22, 10.62, -75.81, 0.26, 0.02


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 70, 0,  1, 1,   32.49,    6.11,  -75.50,   34.88,   41.60,  -15.43,    0.03,    3.99
 59, 0,  2, 1,   29.56,    8.78,  -75.62,   28.77,   34.80,   -7.62,    0.02,    2.20
 72, 0,  3, 1,   29.72,    7.15,  -75.89,   17.74,   21.80,   -8.57,    0.16,    2.34
 81, 0,  4, 1,   27.17,    8.16,  -75.91,   11.60,   11.40,   -2.72,    0.05,    3.64
 52, 0,  5, 1,   26.30,    7.31,  -76.01,    3.72,    5.70,   -0.78,    0.05,    3.15
 16, 0,  6, 1,   26.80,    8.55,  -76.10,    0.78,    0.00,   -2.19,    0.03,    2.24
 40, 0,  7, 1,   26.73,    6.17,  -76.19,   -5.58,  -11.40,   -1.23,    0.03,    2.45
 11, 0,  8, 1,   25.50,    7.18,  -76.26,   -9.65,  -16.80,    0.62,    0.03,    3.83
 19, 0,  9, 1,   24.60,    5.15,  -75.90,  -20.50,  -31.20,    4.27,    0.03,    2.80
 31, 0, 10, 1,   25.75,    3.70,  -75.88,  -29.30,  -38.90,    1.99,    0.02,    5.11
 37, 0, 11, 1,   25.25,    2.81,  -75.73,  -29.71,  -42.20,    4.01,    0.04,    3.03
 58, 0,  1, 1,   30.45,    8.90,  -75.57,   33.18,   41.60,   -9.26,    0.04,    4.71
 33, 0,  2, 1,   31.69,    7.44,  -75.66,   30.48,   34.80,  -12.89,    0.03,    5.78
 36, 0,  3, 1,   29.96,    7.84,  -75.90,   20.06,   21.80,   -8.61,    0.10,    2.96
 26, 0,  4, 1,   27.74,    7.83,  -76.16,    8.42,   11.40,   -4.26,    0.03,    3.23
 24, 0,  5, 1,   27.21,    7.66,  -76.16,    5.80,    5.70,   -3.29,    0.06,    3.43
 91, 0,  6, 1,   27.44,    6.76,  -76.13,    0.67,    0.00,   -1.10,    0.03,    4.00
 69, 0,  7, 1,   26.82,    7.15,  -76.08,   -4.82,  -11.40,   -1.59,    0.08,    3.09
 75, 0,  8, 1,   26.66,    7.07,  -76.08,  -10.68,  -16.80,   -0.80,    0.12,    5.24
  1, 0,  9, 1,   24.53,    5.65,  -75.92,  -19.48,  -31.20,    3.58,    0.09,    4.18
 84, 0, 10, 1,   24.90,    3.32,  -75.61,  -28.01,  -38.90,    4.27,    0.04,    4.93
  3, 0, 11, 1,   24.82,    4.25,  -75.77,  -27.79,  -42.20,    4.22,    0.06,    3.05
 97, 0,  1, 1,   31.62,    8.00,  -75.48,   39.50,   41.60,  -11.80,    0.03,    2.72
 42, 0,  2, 1,   31.29,    7.13,  -75.71,   29.34,   34.80,  -12.26,    0.03,    3.82
  5, 0,  3, 1,   28.79,    8.32,  -75.84,   22.62,   21.80,   -7.71,    0.12,    2.89
 61, 0,  4, 1,   26.61,    7.80,  -75.92,    7.76,   11.40,   -1.52,    0.15,    2.35
 39, 0,  5, 1,   28.05,    6.73,  -76.18,    5.84,    5.70,   -4.49,    0.05,    3.12
 15, 0,  6, 1,   26.61,    8.55,  -76.07,    1.64,    0.00,   -1.75,    0.04,    1.98
 30, 0,  7, 1,   26.86,    7.66,  -76.13,   -4.94,  -11.40,   -2.38,    0.04,    3.76
  2, 0,  8, 1,   25.31,    6.47,  -76.09,  -11.21,  -16.80,    1.49,    0.13,    2.14
 94, 0,  9, 1,   25.49,    3.17,  -75.67,  -21.83,  -31.20,    5.47,    0.05,    4.86
 98, 0, 10, 1,   24.12,    2.62,  -75.39,  -26.47,  -38.90,    7.20,    0.02,    4.31
 56, 0, 11, 1,   25.34,    3.00,  -75.69,  -31.61,  -42.20,    3.65,    0.05,    4.04
 35, 1,  1, 1,   32.75,    6.24,  -75.49,   40.68,   41.60,  -16.05,    0.18,    2.53
 34, 1,  2, 1,   32.39,    6.98,  -75.50,   36.74,   34.80,  -14.21,    0.27,    5.61
 93, 1,  3, 1,   30.97,    7.58,  -75.71,   23.74,   21.80,   -9.29,    0.48,    2.65
 71, 1,  4, 1,   28.33,    7.53,  -76.04,   11.03,   11.40,   -5.35,    0.08,    2.46
  4, 1,  5, 1,   27.23,    7.95,  -76.14,    8.13,    5.70,   -3.23,    0.22,    3.15
 54, 1,  6, 1,   27.65,    5.87,  -76.18,   -0.89,    0.00,   -3.27,    0.07,    5.33
 78, 1,  7, 1,   25.05,    4.90,  -76.03,  -13.64,  -11.40,    3.13,    0.21,    3.84
 87, 1,  8, 1,   25.60,    5.47,  -76.01,  -17.40,  -16.80,    3.44,    0.18,    5.11
 67, 1,  9, 1,   25.53,    5.17,  -75.78,  -25.04,  -31.20,    1.80,    0.20,    3.37
 25, 1, 10, 1,   25.09,    0.73,  -75.22,  -40.01,  -38.90,    5.69,    0.23,    3.72
 95, 1, 11, 1,   25.46,    0.60,  -75.14,  -38.38,  -42.20,    7.30,    0.03,    3.35
 21, 1,  1, 1,   32.61,    6.11,  -75.25,   46.10,   41.60,  -17.69,    0.27,    3.08
 83, 1,  2, 1,   31.46,    7.04,  -75.51,   35.59,   34.80,  -12.86,    0.21,    5.02
 64, 1,  3, 1,   28.11,    8.73,  -75.79,   21.15,   21.80,   -5.24,    0.23,    5.85
 32, 1,  4, 1,   28.56,    8.43,  -75.98,   15.29,   11.40,   -5.66,    0.18,    3.57
 50, 1,  5, 1,   26.20,    7.67,  -75.90,    7.34,    5.70,   -0.32,    0.05,    2.27
 44, 1,  6, 1,   26.46,    7.72,  -76.09,    1.85,    0.00,   -0.39,    0.16,    3.83
  6, 1,  7, 1,   26.21,    6.61,  -76.28,   -9.13,  -11.40,    0.09,    0.23,    3.13
 28, 1,  8, 1,   26.56,    5.23,  -76.12,  -18.57,  -16.80,   -0.23,    0.03,    4.31
 76, 1,  9, 1,   25.58,    4.14,  -75.68,  -29.88,  -31.20,    2.84,    0.18,    8.28
 46, 1, 10, 1,   24.36,    0.63,  -75.09,  -37.82,  -38.90,    8.10,    0.25,    2.84
 88, 1, 11, 1,   25.13,    1.15,  -75.09,  -40.02,  -42.20,    7.05,    0.23,    2.99
 29, 1,  1, 1,   33.16,    6.82,  -75.41,   43.77,   41.60,  -16.42,    0.09,    3.17
 57, 1,  2, 1,   30.89,    8.52,  -75.52,   37.77,   34.80,  -10.56,    0.09,    3.16
 77, 1,  3, 1,   29.73,    8.25,  -75.81,   22.36,   21.80,   -8.55,    0.24,    6.64
  9, 1,  4, 1,   27.95,    8.57,  -76.07,    7.34,   11.40,   -4.22,    0.16,    2.13
 89, 1,  5, 1,   28.29,    7.67,  -76.03,    8.83,    5.70,   -3.06,    0.16,    3.85
 82, 1,  6, 1,   26.51,    6.42,  -76.04,   -1.18,    0.00,   -0.62,    0.13,    3.19
 53, 1,  7, 1,   25.98,    4.32,  -76.04,  -13.25,  -11.40,    1.51,    0.21,    5.74
 90, 1,  8, 1,   26.00,    5.00,  -75.96,  -15.75,  -16.80,    2.91,    0.08,    3.34
 99, 1,  9, 1,   24.27,    1.80,  -75.14,  -31.62,  -31.20,    7.46,    0.17,    3.79
 47, 1, 10, 1,   24.34,    0.08,  -74.90,  -39.36,  -38.90,    8.79,    0.08,    3.25
 45, 1, 11, 1,   24.95,   -0.05,  -74.82,  -43.18,  -42.20,    7.75,    0.21,    2.82
 10, 2,  1, 1,   30.66,    9.27,  -75.71,   36.89,   41.60,  -10.80,    0.26,    8.23
 92, 2,  2, 1,   33.94,    5.36,  -75.12,   42.75,   34.80,  -17.48,    0.44,   10.02
 74, 2,  3, 1,   29.69,    9.01,  -75.68,   23.05,   21.80,   -7.69,    0.38,    4.93
 41, 2,  4, 1,   28.63,    8.09,  -75.95,    8.75,   11.40,   -5.35,    0.21,   10.12
 68, 2,  5, 1,   28.05,    8.38,  -75.96,    7.89,    5.70,   -4.63,    0.27,    4.84
 62, 2,  6, 1,   25.22,    7.76,  -76.21,   -3.25,    0.00,    1.32,    0.44,    9.03
 79, 2,  7, 1,   26.45,    6.21,  -75.90,   -5.94,  -11.40,    0.09,    0.15,    4.42
 66, 2,  8, 1,   25.60,    6.51,  -75.80,  -19.40,  -16.80,    1.00,    0.20,    3.91
 51, 2,  9, 1,   24.29,    2.37,  -75.37,  -32.37,  -31.20,    6.34,    0.36,    8.86
 12, 2, 10, 1,   25.13,    3.25,  -75.40,  -43.02,  -38.90,    2.87,    0.29,    3.83
 23, 2, 11, 1,   24.61,    3.13,  -75.68,  -30.89,  -42.20,    4.27,    0.47,   15.80
 18, 2,  1, 1,   31.30,    7.86,  -75.61,   43.94,   41.60,  -13.23,    0.32,    5.41
 96, 2,  2, 1,   31.54,    8.32,  -75.57,   39.29,   34.80,  -11.37,    0.26,    8.77
 27, 2,  3, 1,   30.72,   10.13,  -75.97,   31.26,   21.80,   -9.95,    0.58,   13.57
  7, 2,  4, 1,   29.23,    7.22,  -76.12,    6.19,   11.40,   -7.40,    0.16,    8.21
 13, 2,  5, 1,   27.02,    9.02,  -76.25,   -0.50,    5.70,   -1.63,    0.33,   12.07
 20, 2,  6, 1,   26.72,    8.51,  -75.95,    0.82,    0.00,   -2.04,    0.28,    7.07
 22, 2,  7, 1,   24.74,    5.52,  -75.89,  -14.95,  -11.40,    3.15,    0.22,    9.21
 38, 2,  8, 1,   24.85,    5.88,  -75.81,  -13.44,  -16.80,    2.64,    0.44,   13.00
 73, 2,  9, 1,   25.41,    3.12,  -75.39,  -33.58,  -31.20,    3.54,    0.33,   13.51
 17, 2, 10, 1,   25.03,    2.57,  -75.53,  -41.14,  -38.90,    3.58,    0.13,   11.30
 80, 2, 11, 1,   24.50,    1.50,  -75.06,  -42.45,  -42.20,    5.78,    0.09,    6.50
 86, 2,  1, 1,   31.60,    8.13,  -75.39,   41.58,   41.60,  -12.82,    0.55,    8.11
 49, 2,  2, 1,   31.03,    7.07,  -75.52,   33.42,   34.80,  -11.69,    0.26,    4.93
 43, 2,  3, 1,   29.70,    8.57,  -75.78,   25.49,   21.80,   -8.13,    0.23,   12.38
  8, 2,  4, 1,   27.91,    9.00,  -75.99,    8.21,   11.40,   -4.15,    0.23,   13.90
