# VP06   2012-04-26_11-10-02
# Elapsed time of measurement: 347 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 29.42, 14.20, -64.97, -0.58, 0.08


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 87, 0,  1, 1,   32.11,   15.81,  -63.94,   43.74,   41.60,    1.89,    0.27,    2.14
 85, 0,  2, 1,   31.96,   15.15,  -64.18,   36.88,   34.80,    0.33,    0.15,    2.35
 16, 0,  3, 1,   31.25,   14.45,  -64.69,   22.58,   21.80,   -1.09,    0.04,    2.94
  6, 0,  4, 1,   30.33,   14.56,  -64.78,   13.98,   11.40,    0.22,    0.07,    3.35
 13, 0,  5, 1,   30.17,   14.43,  -64.88,    5.23,    5.70,   -0.66,    0.05,    3.89
 95, 0,  6, 1,   30.14,   15.49,  -64.55,    1.12,    0.00,   -0.48,    0.11,    1.66
 57, 0,  7, 1,   30.08,   15.11,  -64.72,   -2.77,  -11.40,   -0.76,    0.06,    2.09
  2, 0,  8, 1,   28.97,   13.74,  -65.07,  -17.20,  -16.80,    0.11,    0.02,    3.85
 26, 0,  9, 1,   28.77,   13.73,  -65.00,  -26.54,  -31.20,   -0.64,    0.04,    2.99
 98, 0, 10, 1,   29.14,   15.11,  -64.64,  -26.56,  -38.90,   -3.05,    0.07,    1.86
 15, 0, 11, 1,   28.17,   13.29,  -64.93,  -36.36,  -42.20,   -1.26,    0.05,    3.22
 74, 0,  1, 1,   32.77,   14.23,  -64.27,   43.47,   41.60,   -1.81,    0.21,    1.80
 73, 0,  2, 1,   31.51,   15.51,  -64.24,   33.14,   34.80,    1.38,    0.17,    2.66
 64, 0,  3, 1,   30.62,   15.72,  -64.39,   18.55,   21.80,    1.17,    0.16,    2.53
 29, 0,  4, 1,   30.21,   15.39,  -64.57,   16.80,   11.40,    0.86,    0.17,    3.90
 86, 0,  5, 1,   30.82,   15.35,  -64.50,    9.76,    5.70,   -0.42,    0.13,    1.90
 97, 0,  6, 1,   29.50,   15.26,  -64.54,    3.17,    0.00,    1.38,    0.08,    1.78
 83, 0,  7, 1,   29.47,   15.63,  -64.52,   -2.04,  -11.40,    0.35,    0.06,    1.81
 76, 0,  8, 1,   29.88,   15.18,  -64.72,   -7.10,  -16.80,   -0.86,    0.16,    2.05
 20, 0,  9, 1,   28.76,   13.66,  -64.98,  -23.95,  -31.20,   -0.37,    0.11,    2.12
 53, 0, 10, 1,   28.02,   13.89,  -64.75,  -34.63,  -38.90,   -1.29,    0.05,    3.48
 94, 0, 11, 1,   29.06,   14.35,  -64.71,  -32.85,  -42.20,   -3.53,    0.16,    1.89
 21, 0,  1, 1,   31.66,   14.39,  -64.48,   35.99,   41.60,   -0.52,    0.17,    2.81
 65, 0,  2, 1,   32.83,   15.00,  -64.19,   39.83,   34.80,   -1.06,    0.20,    2.17
 78, 0,  3, 1,   30.71,   15.64,  -64.32,   24.23,   21.80,    1.82,    0.16,    2.44
 75, 0,  4, 1,   31.07,   14.93,  -64.64,   13.62,   11.40,   -0.67,    0.08,    2.07
  1, 0,  5, 1,   29.75,   14.06,  -64.97,    0.18,    5.70,    0.18,    0.04,    3.26
 43, 0,  6, 1,   29.67,   14.74,  -64.77,   -2.40,    0.00,    0.26,    0.03,    2.53
 47, 0,  7, 1,   29.39,   14.51,  -64.80,   -4.89,  -11.40,    0.88,    0.07,    2.26
 93, 0,  8, 1,   29.19,   15.30,  -64.60,   -7.33,  -16.80,    0.39,    0.06,    1.84
 40, 0,  9, 1,   28.78,   14.40,  -64.79,  -32.24,  -31.20,   -2.42,    0.12,    2.23
 61, 0, 10, 1,   28.76,   14.73,  -64.72,  -29.81,  -38.90,   -2.35,    0.05,    2.94
 50, 0, 11, 1,   28.31,   13.15,  -64.80,  -41.15,  -42.20,   -2.60,    0.04,    2.21
 45, 1,  1, 1,   32.27,   15.19,  -64.20,   44.99,   41.60,    0.13,    0.10,    3.39
 59, 1,  2, 1,   32.15,   15.43,  -64.12,   41.10,   34.80,    0.02,    0.35,    2.27
