# VP09   2012-05-02_11-14-14
# Elapsed time of measurement: 872 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 23.81, 20.12, -78.17, 0.10, 0.05


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 36, 0,  1, 1,   27.95,   19.24,  -77.37,   34.65,   41.60,   -9.36,    0.07,    6.01
 17, 0,  2, 1,   26.52,   19.02,  -77.39,   32.22,   34.80,   -7.11,    0.05,    6.79
 95, 0,  3, 1,   27.21,   18.29,  -77.51,   18.94,   21.80,   -6.59,    0.02,    6.10
 82, 0,  4, 1,   24.75,   18.97,  -77.52,   11.09,   11.40,   -1.81,    0.02,    6.84
 14, 0,  5, 1,   24.72,   17.79,  -77.88,    6.37,    5.70,   -2.73,    0.08,    4.09
 58, 0,  6, 1,   25.28,   17.46,  -77.93,    0.72,    0.00,   -2.39,    0.03,    6.77
 81, 0,  7, 1,   25.33,   16.74,  -77.99,   -7.49,  -11.40,   -1.88,    0.04,    5.11
 38, 0,  8, 1,   25.36,   15.24,  -78.27,  -14.87,  -16.80,   -0.96,    0.16,    9.07
 64, 0,  9, 1,   26.49,   16.39,  -78.23,  -23.93,  -31.20,   -3.01,    0.07,    5.82
 44, 0, 10, 1,   27.60,   14.62,  -78.26,  -35.06,  -38.90,   -4.58,    0.02,    6.29
 12, 0, 11, 1,   25.29,   14.99,  -78.10,  -32.33,  -42.20,   -2.95,    0.08,    7.95
 25, 0,  1, 1,   27.53,   18.89,  -77.29,   37.90,   41.60,   -9.37,    0.05,   12.94
 98, 0,  2, 1,   26.00,   19.74,  -77.01,   31.89,   34.80,   -4.00,    0.03,    4.77
 27, 0,  3, 1,   25.56,   18.09,  -77.66,   17.05,   21.80,   -4.10,    0.02,    3.06
 59, 0,  4, 1,   26.54,   17.54,  -77.85,    8.15,   11.40,   -5.08,    0.05,    5.84
 77, 0,  5, 1,   25.02,   16.50,  -77.75,    4.63,    5.70,   -2.04,    0.04,   11.80
 72, 0,  6, 1,   25.55,   17.16,  -77.93,   -0.36,    0.00,   -2.21,    0.07,    3.74
 91, 0,  7, 1,   25.05,   17.28,  -77.88,   -5.77,  -11.40,   -1.46,    0.01,    3.74
  2, 0,  8, 1,   23.95,   16.12,  -78.16,  -14.86,  -16.80,   -1.76,    0.04,    8.19
 28, 0,  9, 1,   25.54,   15.17,  -78.24,  -25.87,  -31.20,   -2.47,    0.20,    4.83
 40, 0, 10, 1,   25.58,   15.18,  -78.23,  -30.89,  -38.90,   -2.11,    0.07,    8.88
  3, 0, 11, 1,   24.90,   14.13,  -78.14,  -35.62,  -42.20,   -3.31,    0.07,    4.73
 74, 0,  1, 1,   27.17,   20.21,  -77.13,   37.27,   41.60,   -6.96,    0.05,    5.93
 83, 0,  2, 1,   26.73,   19.24,  -77.21,   30.92,   34.80,   -6.83,    0.06,    4.87
 79, 0,  3, 1,   25.85,   18.28,  -77.60,   17.07,   21.80,   -4.44,    0.05,    7.69
 19, 0,  4, 1,   24.76,   18.02,  -77.74,   10.96,   11.40,   -2.77,    0.04,    4.96
  8, 0,  5, 1,   26.05,   16.98,  -78.07,    6.62,    5.70,   -3.58,    0.08,   10.13
 99, 0,  6, 1,   24.72,   16.88,  -77.74,    0.71,    0.00,   -0.92,    0.02,    7.86
 50, 0,  7, 1,   24.40,   17.33,  -77.97,   -6.35,  -11.40,   -0.41,    0.10,    3.94
 13, 0,  8, 1,   24.50,   16.03,  -78.11,  -12.47,  -16.80,   -1.40,    0.10,    8.08
 15, 0,  9, 1,   25.71,   14.84,  -78.32,  -25.45,  -31.20,   -2.88,    0.03,    5.97
 48, 0, 10, 1,   25.73,   15.12,  -78.20,  -30.65,  -38.90,   -1.73,    0.04,    6.02
 80, 0, 11, 1,   26.61,   14.98,  -78.09,  -37.38,  -42.20,   -3.50,    0.10,    6.83
 30, 1,  1, 1,   26.18,   19.30,  -77.35,   33.10,   41.60,   -6.50,    0.23,    5.19
 34, 1,  2, 1,   26.06,   18.76,  -77.51,   25.87,   34.80,   -6.37,    0.15,    7.22
 31, 1,  3, 1,   25.83,   17.58,  -77.62,   13.26,   21.80,   -4.34,    0.27,    4.96
 75, 1,  4, 1,   26.78,   18.00,  -77.83,    2.92,   11.40,   -3.93,    0.20,   10.04
 66, 1,  5, 1,   26.73,   17.06,  -77.95,    2.53,    5.70,   -4.48,    0.34,    5.94
 22, 1,  6, 1,   25.02,   17.15,  -78.14,   -5.76,    0.00,   -2.72,    0.06,    4.21
 10, 1,  7, 1,   24.15,   16.09,  -78.20,  -19.68,  -11.40,   -0.65,    0.03,    7.33
 56, 1,  8, 1,   26.17,   15.94,  -78.21,  -27.73,  -16.80,   -2.43,    0.12,    4.93
 55, 1,  9, 1,   25.79,   14.97,  -78.13,  -39.04,  -31.20,   -1.81,    0.33,   15.99
 61, 1, 10, 1,   26.37,   15.13,  -77.93,  -46.77,  -38.90,   -3.39,    0.28,    3.90
 11, 1, 11, 1,   25.77,   14.64,  -77.69,  -49.27,  -42.20,   -5.09,    0.07,   13.29
 47, 1,  1, 1,   25.97,   19.40,  -77.35,   33.99,   41.60,   -6.19,    0.22,    5.97
 65, 1,  2, 1,   27.92,   19.66,  -77.43,   31.17,   34.80,   -8.68,    0.19,    5.89
 93, 1,  3, 1,   26.58,   18.59,  -77.48,   15.84,   21.80,   -4.86,    0.22,    4.89
 87, 1,  4, 1,   25.94,   18.34,  -77.64,    4.61,   11.40,   -2.67,    0.30,    5.85
 39, 1,  5, 1,   25.35,   16.95,  -77.98,   -2.08,    5.70,   -2.12,    0.13,   10.18
  1, 1,  6, 1,   24.18,   16.54,  -78.04,   -7.15,    0.00,   -2.17,    0.09,    8.91
 78, 1,  7, 1,   25.63,   15.83,  -78.03,  -22.64,  -11.40,   -1.27,    0.25,    5.89
 70, 1,  8, 1,   25.63,   15.40,  -78.35,  -26.82,  -16.80,   -1.50,    0.43,    6.74
 35, 1,  9, 1,   26.59,   14.73,  -77.92,  -42.81,  -31.20,   -4.20,    0.31,    8.00
 62, 1, 10, 1,   26.52,   15.04,  -77.70,  -47.43,  -38.90,   -3.92,    0.18,    4.97
 37, 1, 11, 1,   26.71,   15.10,  -77.78,  -49.33,  -42.20,   -5.33,    0.09,    5.25
