# Data file generated by gp_save.m
# 
80	0.35054	-0.73366	-0.12366	0.95333	-1.544	-0.39694	-1.1543	-1.0526	-0.15939	-0.33042	NaN	3.0257	0.3528	-0.024974	4.4042	3.2293	0.18483	-0.94997
115.2	0.36162	-0.85008	-0.13019	0.97948	-1.4417	-0.44399	-1.0539	-1.1047	-0.14457	-0.46699	NaN	2.9751	0.36649	-0.16258	4.3507	3.1733	0.12114	-1.0173
154.41	0.38539	-0.94668	-0.11108	1.0795	-1.2313	-0.40112	-0.84242	-1.0551	-0.10927	-0.5963	NaN	3.0192	0.40207	-0.29359	4.2854	3.1032	0.025099	-1.1417
198.09	0.3741	-0.96419	-0.11006	1.1399	-1.0393	-0.23597	-0.64998	-0.88984	-0.11247	-0.62449	NaN	3.1897	0.39943	-0.32251	4.204	3.0212	-0.087605	-1.2952
246.75	0.31394	-0.84061	-0.12054	1.1615	-0.85364	0.14593	-0.45774	-0.51764	-0.16308	-0.49714	NaN	3.5584	0.34935	-0.19652	3.9909	2.8116	-0.28224	-1.5404
300.96	0.29824	-0.65413	-0.098582	1.2114	-0.67944	0.52206	-0.28947	-0.14251	-0.17968	-0.3029	NaN	3.9378	0.33696	0.0017595	3.7781	2.5925	-0.41101	-1.7645
361.34	0.38809	-0.46815	-0.080566	1.2634	-0.43796	0.85925	-0.045286	0.19877	-0.088376	-0.11726	NaN	4.275	0.42427	0.18559	3.479	2.2847	-0.48496	-2.0006
428.61	0.56172	-0.30438	-0.07448	1.295	-0.19454	1.0884	0.19721	0.42962	0.082727	0.039959	NaN	4.5054	0.59427	0.34544	3.1083	1.8993	-0.50628	-2.1808
503.54	0.80139	-0.095387	-0.039062	1.3692	0.056048	1.3063	0.44883	0.64923	0.31001	0.237	NaN	4.7212	0.82028	0.53927	2.4596	1.241	-0.50989	-2.3947
587.01	0.86701	-0.027775	-0.017932	1.4207	0.078703	1.3338	0.47447	0.67598	0.36209	0.29263	NaN	4.7453	0.87376	0.5947	1.8736	0.61596	-0.42468	-2.3592
680	0.79528	0.015551	0.018513	1.5051	-0.062003	1.312	0.33128	0.65363	0.28286	0.3347	NaN	4.7135	0.79489	0.63766	1.2338	-0.029975	-0.45243	-2.0708
783.58	0.68909	-0.042162	0.022224	1.5115	-0.21675	1.2048	0.17543	0.54496	0.18637	0.28238	NaN	4.5934	0.69676	0.58645	0.52877	-0.7388	-0.48478	-1.1294
898.97	0.6536	-0.10531	0.0019627	1.4796	-0.25229	1.1419	0.14146	0.4834	0.16502	0.23415	NaN	4.515	0.67655	0.53757	-0.45409	-1.7953	-0.56304	-0.45041
1027.5	0.68828	-0.10355	0.0025152	1.4961	-0.17626	1.1835	0.21607	0.52996	0.21194	0.25073	NaN	4.5093	0.72151	0.55264	-1.7754	-3.0827	-0.63434	-0.05452
1170.7	0.72691	0.076815	0.010123	1.5585	-0.12162	1.2841	0.27211	0.70619	0.22679	0.35331	NaN	4.5681	0.72517	0.68892	-3.1649	-4.6321	-0.37846	-0.086506
1330.2	0.75083	0.66364	0.026685	1.6367	-0.12663	1.0328	0.21997	0.89673	0.18567	0.44638	NaN	4.6376	0.65118	0.75185	-4.2929	-6.1498	0.067399	-0.30226
1507.9	0.67617	1.2308	-0.011934	1.641	-0.37003	1.5292	0.10984	0.91668	0.099818	1.407	NaN	4.5739	0.56211	0.69883	-4.8549	-5.7832	0.33003	-0.43993
1705.8	0.33689	0.77242	-0.07215	1.9996	-0.68953	1.7414	0.11202	-0.11225	0.089218	-0.69364	NaN	2.6325	0.5236	-0.26016	-6.9339	-5.4971	0.11423	-0.29578
1926.3	0.8831	1.5511	-0.023021	0.56984	-1.2191	0.64257	0.22915	1.3351	0.19273	0.19216	NaN	1.05	0.56952	1.014	-6.5572	-5.2427	-0.21696	0.21974
2172	-1.4703	1.2154	0.052295	0.99438	-0.30037	1.2647	0.27727	1.1325	0.25738	0.27279	NaN	0.16482	0.59133	1.0886	-3.8965	-3.7603	-0.2185	0.55577
2445.6	1.5474	0.32892	0.088955	1.1215	-1.6562	-1.3186	0.32825	0.57123	0.29796	0.011003	NaN	-0.34612	0.61793	0.85705	-1.6983	-2.5792	-0.073431	0.86573
2750.4	-0.68343	-0.96307	0.065519	-0.18584	2.0691	-0.70424	0.28961	-0.18118	0.25443	-0.16091	NaN	-1.4795	0.57925	0.41701	-0.19836	-2.1257	0.11381	1.1331
3090	-3.8785	0.33699	0.053212	-0.060746	-0.80773	0.15621	0.29283	-0.76226	0.2372	-0.63417	NaN	-3.4631	0.54021	-0.19627	0.10832	-2.2501	0.21243	0.87602
3468.2	-1.022	-0.632	0.024053	1.2713	2.6683	-0.9405	0.29626	-0.19912	0.23416	-0.88274	NaN	-6.2308	0.46721	-0.45518	-0.31252	-1.9753	0.20601	0.63767
3889.6	-0.41256	2.2379	-0.033914	0.76181	2.8578	1.2228	0.24648	0.77382	0.21037	-0.48845	NaN	-7.3239	0.28066	-0.36561	-1.0988	-2.2089	0.09856	0.51936
4359	-0.62277	3.4711	0.018538	0.89883	-0.35296	-0.40071	0.26879	1.2078	0.27057	0.20132	NaN	-6.7528	0.19387	0.00037467	-1.4868	-3.0766	0.12446	1.0402
4881.9	2.4901	1.886	0.12744	1.62	-0.67261	1.9172	0.38851	1.2979	0.3814	0.63085	NaN	-6.7966	0.26771	0.42432	-1.0471	-3.1691	0.20863	1.8747
5464.4	0.87309	2.3533	0.11119	1.6462	3.9814	3.3101	0.38154	0.47271	0.34125	0.79604	NaN	-7.6273	0.11272	0.57873	-0.53307	-2.0682	0.37542	2.0905
6113.3	2.736	5.5786	0.18624	2.8037	5.0256	7.0558	0.47362	-0.72232	0.43561	1.0427	NaN	-8.0233	0.020034	0.60433	-0.36448	-2.024	0.4163	1.3736
6836.1	3.8442	7.0548	0.1849	3.1312	5.5824	6.4263	0.48868	0.64997	0.37691	1.4421	NaN	-6.8242	-0.11235	0.56816	-0.062116	-1.5848	0.89692	0.81406
7641.3	1.189	3.4407	0.23373	2.6335	5.1251	5.4453	0.57102	3.2479	0.7677	2.2505	NaN	-7.1105	-0.66712	0.4998	-0.35382	-1.2526	1.1832	-0.20721
8538.3	-0.95973	-0.026132	0.080538	1.302	-1.6361	1.6568	0.40597	2.4485	0.82432	1.6879	NaN	-15.66	-1.0867	-0.027834	0.15382	-0.9063	1.4948	-0.28634
9537.5	0.546	-1.4771	0.075179	0.44054	-5.5951	-2.2305	0.41563	2.7053	0.53221	1.5241	NaN	-15.95	-1.4235	-0.11042	0.3181	-0.094512	1.8073	0.77774
10651	1.0769	0.053862	0.10567	1.3024	-0.32989	-1.1724	0.47916	3.4033	0.78278	1.6191	NaN	-15.025	-1.8674	-0.19977	0.55238	1.0705	1.7728	2.767
11891	-0.10434	2.8579	0.061368	0.6017	0.68363	-0.40159	0.47553	3.1795	0.40675	1.2828	NaN	-13.772	-2.7416	-0.36227	0.61627	2.2049	1.0855	4.3827
13272	-4.5934	3.6729	0.053587	0.40682	0.28069	-3.2155	0.46378	3.1608	-0.89724	0.986	NaN	-10.763	-3.7108	-0.50422	0.54032	3.1203	0.50012	4.3664
14811	-3.4056	0.62995	-0.06566	0.45444	-0.83571	-1.4169	0.39762	3.0487	-4.3235	0.41933	NaN	-6.9226	-5.4309	-1.0916	0.93065	3.4525	-0.50543	3.4208
